LLID,Bed,Bath,Price,PetsAllowed,Address
11,4,1,1640,1,1118 Vine St La Crosse WI
11,4,1,1680,0,520 11th St North La Crosse WI
11,4,1,1880,0,1107 Vine St La Crosse WI
5,1,1,850,0,1911 West Ave South La Crosse WI
4,4,1.5,2150,0,1417 State St La Crosse WI
8,2,1,1500,1,1010 Vine St La Crosse WI
8,4,2,2840,0,1010 Vine St La Crosse WI
31,3,1,1425,1,1217 State St La Crosse WI
31,4,1.5,1900,0,1217 State St La Crosse WI
31,2,1,950,0,1217 State St La Crosse WI
32,2,1,650,0,132 11th St South La Crosse WI
11,3,1,1230,0,321 15th St North La Crosse WI
4,3,1,1650,0,1408 Vine St La Crosse WI
13,2,1,1100,1,"509 11th St N, Up, La Crosse WI"
33,4,2,1940,0,1300 Vine St La Crosse WI
20,1,1,905,1,210 West Ave North La Crosse WI
16,5,1.5,2600,0,112 17th St South La Crosse WI
28,3,1,1500,1,627 10th St North La Crosse WI
33,2,1,900,1,"1310 State St, Up, La Crosse WI"
33,4,1,1964,1,"1308 State St, Down, La Crosse WI"
9,5,2,2000,1,702 11th St North La Crosse WI
33,4,1,2375,0,214 14th St North La Crosse WI
33,4,1,2000,1,"1915 State St, Down, La Crosse WI"
33,2,1,920,1,"1917 State St, Up, La Crosse WI"
17,5,2,2700,1,1320 Main St La Crosse WI
3,3,1,1500,0,222 10th St S La Crosse WI
21,2,1,770,0,1116 La Crosse St Up La Crosse WI
24,3,2,1500,1,228 Main St La Crosse WI
34,1,1,825,1,1935 Miller St La Crosse WI
34,1,1,945,0,1935 Miller St La Crosse WI
34,3,1,1190,0,1935 Miller St La Crosse WI
34,2,2,1295,1,1935 Miller St La Crosse WI
34,3,2,1295,0,1935 Miller St La Crosse WI
34,1,1,685,1,1935 Miller St La Crosse WI
34,2,1,1115,0,1935 Miller St La Crosse WI
28,3,1,1500,0,918 Grove St La Crosse WI
4,9,3.5,5500,1,1315 State St La Crosse WI
29,2,1,850,1,1008 13th St South La Crosse WI
35,5,1,2175,0,311 14th St North La Crosse WI
33,2,1,850,0,616 Kane St La Crosse WI
28,2,1,1200,0,523 Wilson St Onalaska WI
27,2,1,900,0,923 Johnson St La Crosse WI
27,3,1,1350,0,921 Johnson St La Crosse WI
4,4,2,2000,0,318 21st St North La Crosse WI
4,4,2,2400,0,119 22nd St North La Crosse WI
4,4,2,2260,1,425 12th St North La Crosse WI
4,2,1,1100,1,1408 Vine St La Crosse WI
25,1,1,995,0,1125 Pine St La Crosse WI
25,2,1,1350,0,1125 Pine St La Crosse WI
25,3,1,1785,0,1125 Pine St La Crosse WI
25,4,2,2560,0,1018 Badger St La Crosse WI
11,4,1,1380,0,521 10th St North La Crosse WI
11,2,1,1100,1,1320 Vine St La Crosse WI
3,2,1,1050,0,114 9th St North La Crosse WI
36,5,2,2400,1,2108 Pine St La Crosse WI
4,5,2,3900,1,917 Badger St La Crosse WI
6,6,2,3030,0,1027 Grove St La Crosse WI
37,4,2,1800,1,1242 La Crosse St La Crosse WI
15,1,1,530,0,525 9th St South La Crescent MN
4,4,1,1750,0,915 8th St South La Crosse WI
38,5,3,2500,1,1207 Ferry St La Crosse WI
39,5,2.5,3000,0,1923 State St La Crosse WI
40,1,1,900,1,307 23rd St South La Crosse WI
40,1,1,800,1,311 23rd St South La Crosse WI
39,4,2,2000,0,2015 Vine St La Crosse WI
16,3,2,1600,1,1747 King St La Crosse WI
40,2,1,1200,1,229 22nd St South La Crosse WI
41,3,2,1350,0,1903 State St La Crosse WI
15,3,1,1470,1,107 14th St North La Crosse WI
41,4,1,1750,0,1911 State St La Crosse WI
41,3,1,1350,0,1929 Main St La Crosse WI
41,5,1.5,2000,0,1931 Main St La Crosse WI
25,4,1,2300,0,1113 Pine St La Crosse WI
14,3,1,1380,0,2105 La Crosse St La Crosse WI
2,2,1,960,1,720 Oakland St La Crosse WI
38,4,2,2200,0,1209 Ferry St La Crosse WI
33,4,1,1860,1,212 14th St North La Crosse WI
23,5,2,3000,1,212 11th St North La Crosse WI
15,2,1,900,1,609 East Ave South La Crosse WI
42,1,1,675,1,1333 Main St La Crosse WI
42,1,1,650,0,218 West Ave South La Crosse WI
42,1,1,750,0,218 West Ave South La Crosse WI
42,2,1,1200,1,1009 State St La Crosse WI
42,2,1,950,1,1019 State St La Crosse WI
42,1,1,825,1,1333 Main St La Crosse WI
42,2,1,1195,0,1333 Main St La Crosse WI
42,3,1,1495,1,1222 State St La Crosse WI
42,3,1,1485,0,1224 State St La Crosse WI
42,3,1,1300,1,1019 State St La Crosse WI
42,4,2,2200,1,214 West Ave South La Crosse WI
42,2,1,950,1,1013 State St La Crosse WI
4,3,1,1400,1,623 7th St South La Crosse WI
20,2,2,1150,0,212 West Ave North La Crosse WI
20,4,1,2300,1,208 West Ave North La Crosse WI
43,5,2,2500,0,741 23rd St North La Crosse WI
4,5,3,3554,1,322 21st St North La Crosse WI
15,3,1,1470,1,111 14th St N La Crosse WI
17,3,1,1620,1,1435 State St La Crosse WI
17,4,1,2080,0,1437 State St La Crosse WI
44,6,2,2760,0,774 22nd St N La Crosse WI
36,4,2,1800,0,2201 La Crosse St La Crosse WI
41,2,2,1250,0,1440 Sunset Ct La Crosse WI
41,1,1,725,0,544 2nd Ave North Onalaska WI
2,3,1,1099,0,431 West Ave North La Crosse WI
23,4,2,3000,1,221 13th St North #5 La Crosse WI
45,3,1,1400,0,1226 Madison St La Crosse WI
36,1,1,850,0,700 22nd St North La Crosse WI
24,3,1,1875,0,101 West Ave North La Crosse WI
21,1,1,875,1,1003 Cameron Ave La Crosse WI
46,4,1,1600,0,209 14th St North La Crosse WI
4,2,1,1590,1,1203 Badger St La Crosse WI
16,5,2,2500,0,"1801 Cameron Ave, Down, La Crosse WI"
16,2,1,1200,1,1803 Cameron Ave Up La Crosse WI
2,2,1,1695,0,2012 Campbell Rd La Crosse WI
2,2,2,1615,0,1231 Hagar St La Crosse WI
33,1,1,700,0,622 Kane St La Crosse WI
17,6,2,3000,1,219 15th St North La Crosse WI
30,3,1,1500,0,107 9th St South La Crosse WI
23,4,2,2400,0,"221 13th St North #3 La Crosse, WI"
23,5,2,3000,1,221 13th St North #2 La Crosse WI
1,4,2,2520,1,1325 State St La Crosse WI
24,4,1,2000,1,227 14th St North La Crosse WI
28,2,1,1200,1,717 10th St North La Crosse WI
27,2,1,1200,1,927 Division St La Crosse WI
24,3,1,1650,1,125 19th St North La Crosse WI
1,4,1,1980,0,221 West Ave North La Crosse WI
1,5,1,2475,0,223 West Ave North La Crosse WI
25,1,1,920,0,334 West Ave North La Crosse WI
15,2,1,850,0,1425 State St La Crosse WI
14,3,1,1350,0,2103 La Crosse St La Crosse WI
